NA_Sales_Log,JP_Sales_Log,EU_Sales_Log,Other_Sales_Log,Critic_Count,User_Count,Microsoft,Nintendo,Other,PC,PlayStation,Action,Casual,RPG,Simulation,Sports,Strategy,Global_Sales
1.3686394258811698,0.0,1.199964782928397,0.3987761199573678,14,774.0,1,0,0,0,0,1,0,0,0,0,0,5.74
1.252762968495368,0.14842000511827322,1.1216775615991057,0.6575200029167942,95,5389.0,0,0,0,0,1,1,0,0,0,0,0,5.66
1.5195132049061133,0.0,0.9400072584914712,0.412109650826833,17,62.0,0,1,0,0,0,1,0,0,0,0,0,5.64
1.4060969884160703,0.06765864847381486,1.0681530811834012,0.45107561936021656,35,21.0,0,1,0,0,0,0,0,0,1,0,0,5.64
1.3787660946990992,1.0331844833456545,0.5247285289349821,0.10436001532424286,21,25.0,0,1,0,0,0,0,1,0,0,0,0,5.58
1.3737155789130306,1.0885619528146082,0.47000362924573563,0.03922071315328133,21,25.0,0,1,0,0,0,1,0,0,0,0,0,5.55
1.264126727145683,0.1906203596086497,1.0750024230289759,0.6205764877251098,70,1212.0,0,0,0,0,1,1,0,0,0,0,0,5.55
1.4539530095937052,0.06765864847381486,0.9707789171582247,0.44468582126144574,77,1084.0,1,0,0,0,0,0,0,1,0,0,0,5.54
1.3837912309017721,0.09531017980432493,1.0647107369924282,0.4054651081081644,90,516.0,1,0,0,0,0,0,0,0,0,1,0,5.49
1.420695787837223,0.6471032420585385,0.8064758658669485,0.1823215567939546,19,42.0,0,1,0,0,0,1,0,0,0,0,0,5.49
1.3110318766193438,0.10436001532424286,1.0473189942805592,0.5933268452777344,42,2174.0,0,0,0,0,1,1,0,0,0,0,0,5.48
0.3852624007906449,1.6351056591826783,0.4382549309311553,0.29266961396282004,48,124.0,0,0,0,0,1,0,0,1,0,0,0,5.48
1.2864740258376797,0.688134638736401,0.9707789171582247,0.20701416938432612,24,108.0,0,1,0,0,0,0,0,0,0,1,0,5.47
1.43746264769429,0.6678293725756554,0.7466879474879753,0.1823215567939546,21,25.0,0,1,0,0,0,1,0,0,0,0,0,5.46
1.430311246536665,0.6626879730752367,0.8064758658669485,0.08617769624105241,21,25.0,0,1,0,0,0,0,0,0,0,0,1,5.45
